name,latitude,longitude,area,geo_id
"North Industrial Area, Baldwin, AL",30.766754653,-88.038226978,26.705295120366,184b86aa475bfa6c942eed020d9afef0
"Acipco / Finley, Jefferson, AL",33.544172485,-86.836729198,1.54931133521743,c4985358751ed9e97f106aa9dc0aa640
"Airport Highlands, Jefferson, AL",33.581593568,-86.74070155,0.270327652325848,b060e1f941f76c9b6e6887a7db8ee21b
"Apple Valley, Jefferson, AL",33.662268091,-86.690349309,0.525244339189549,5aa3ceb3ce301822581097a88839779d
"Arlington / West End, Jefferson, AL",33.493121679,-86.850582224,1.75416503654836,c70fe7e35bbf0efdee6fc909792404cf
"Belview Heights, Jefferson, AL",33.484856021,-86.897903797,1.06997056324319,7583634188ec42b4b9d2734ac4dbff34
"Bridlewood, Jefferson, AL",33.624399609,-86.705793288,0.245931406293908,c6b6ebf7deb6998577e4da8621334c12
"Brown Springs, Jefferson, AL",33.54751448,-86.7200929,0.302136921593806,1b240669ace69ac8fd4aa4e6599eb2c2
"Brownsville Heights, Jefferson, AL",33.58380465,-86.746632347,0.522137565260278,558651c62db95ebd7136cd2e279731f8
"Brummitt Heights, Jefferson, AL",33.595653365,-86.743894473,0.361776629180345,af01fc920eadd1c902b8a4d9746afb5b
"Bush Hills, Jefferson, AL",33.51319656,-86.861460569,1.09154542083917,10a39fdd0cca1a639c91abd0c383c99b
"Central City, Jefferson, AL",33.522550924,-86.8005496,1.0321122129465,f32541393a5689a2718537f6d2996644
"Central Park, Jefferson, AL",33.489934948,-86.880329853,1.14294735599338,5f86ab6e0464f21d5a38beb1321f2ed8
"Central Pratt, Jefferson, AL",33.530850908,-86.887998694,0.91698722801023,50a52959ec5254361c88fd0022220a42
"College Hills, Jefferson, AL",33.516515237,-86.843184401,0.453617276790362,43946b9dccc2fe96b25f716849794722
"Collegeville, Jefferson, AL",33.553463613,-86.802991958,1.49656015617549,94f25eb688df34b8830edc32bd7497a9
"Crestline, Jefferson, AL",33.516561015,-86.734504791,1.13004885778479,60a4b8e75b7917373bc4fd49f7986883
"Crestwood North, Jefferson, AL",33.534309673,-86.747261011,0.639593382491387,24a1124dfc2cbd7e3aeac6eb59eab2dd
"Crestwood South, Jefferson, AL",33.52044,-86.747471585,1.50354794105158,f6a9c2142cc9128f920e9797d379f7c8
"Dolomite, Jefferson, AL",33.468473425,-86.961625987,1.09448831359452,8f7d2e34ad309affdb127378c39b3b82
"Downtown Homewood, Jefferson, AL",33.479748594,-86.791219664,0.179303524892411,78f7250f2621483347fb2ac1a22af0cd
"Druid Hills, Jefferson, AL",33.5308729,-86.812323244,0.646221942211678,02090f174eec443c561fd22bc3a307b1
"East Avondale, Jefferson, AL",33.5281625,-86.764173758,0.428512487133544,92ce6c6f4bf528276aabd83be66206ce
"East Birmingham, Jefferson, AL",33.542638339,-86.78456964,0.841341073808579,6e8236b5c60f9e993b87e76b2724048f
"East Brownsville, Jefferson, AL",33.438816803,-86.899183228,0.379000054153723,ad040284e5bc9e8ba8d012710e2dea10
"East Lake, Jefferson, AL",33.552419228,-86.73020887,0.858894862022375,b505b73ca323744eb40d1bcc173161af
"East Thomas, Jefferson, AL",33.526050042,-86.839487581,0.42822556789793,8f47b8f892286a08a09c788894927220
"Eastwood, Jefferson, AL",33.52877071,-86.715817742,1.11297310581143,27f5a303a1c67af7c066899454f89998
"Echo Highlands, Jefferson, AL",33.631762758,-86.7211705,3.78810274176663,111cbca30942a4960ae87095cb2a5e65
"Edgewood, Jefferson, AL",33.465509911,-86.811788511,1.33994811521724,b65c6f6584aac31f1cfc641a1f5566cf
"Enon Ridge, Jefferson, AL",33.5271724,-86.830541386,0.303010782753384,3a0f41c379446301fdffc6863d186806
"Ensley, Jefferson, AL",33.510921308,-86.898862108,1.56881861399585,e873c9b6c7e582766033ced550454e25
"Ensley Highlands, Jefferson, AL",33.5022395,-86.886035935,0.958831766709278,e6cc65ea58d99d9a0c730603edfa6187
"Evergreen, Jefferson, AL",33.537048808,-86.822615519,0.453413075355807,33adb0910ba7eaf596b7251c72f4f374
"Fairmont, Jefferson, AL",33.577408247,-86.808096816,2.32005756562421,38879929288e7090221561fa06b03ab5
"Fairview, Jefferson, AL",33.503432108,-86.873408232,0.47116212749249,ba849adf15722de87c14dda95ec2ad8b
"Five Points South, Jefferson, AL",33.498399,-86.800346492,2.18450844988812,93ad12867c78b449b81a4294e5a781bc
"Forest Park, Jefferson, AL",33.516705774,-86.770274721,1.16476514788568,ff8ef66a711cc78ae559f7c7fed6fb34
"Fountain Heights, Jefferson, AL",33.520243,-86.818907628,1.18026189775649,ad2f2dc8f34e59fabb158d361e39fc89
"Fulton Springs, Jefferson, AL",33.618117448,-86.7936875,0.123908583029823,1ea12aec4719a67f3654975d9b4d6cfd
"Garden Highlands, Jefferson, AL",33.4558923,-86.875384951,0.552912028929782,514f264edb56515770b5f7223c695562
"Gate City, Jefferson, AL",33.542632,-86.728693444,0.266546080840174,4e23e5d72201487b330577e54dc967ba
"Germania Park, Jefferson, AL",33.477740417,-86.876988602,0.609108137840393,72a777b608ee64d4fdbd620d19b06f84
"Glen Iris, Jefferson, AL",33.480834254,-86.820251573,2.05673785522486,2905e90d97f5ec273e843091f954aac4
"Grasselli Heights, Jefferson, AL",33.446797183,-86.895225971,0.243108152154207,bf926d8827cf24a1abb8531f7b8b0471
"Graymont, Jefferson, AL",33.508859,-86.842719436,0.43175907326606,199d11a7d496c15c84343da69472c87f
"Green Acres, Jefferson, AL",33.470158353,-86.894139309,0.748018103485621,a5fcfc0f6b15b37aad3c9689adcdee3c
"Greystone Legacy, Jefferson, AL",33.454025408,-86.633790339,2.4280654355303,78bd42e177b26a6a3dbdd5eb31596c3e
"Grove Park, Jefferson, AL",33.481092832,-86.798828868,0.282688724236719,30ca2d8e8926b3595fb73717bcbe3f22
"Harriman Park, Jefferson, AL",33.56264705,-86.794750514,1.1626159766024,553b7377149f66c9bf20630589fe2213
"Highland Park, Jefferson, AL",33.5061615,-86.782178152,0.523519045128935,58c212cae082b67e775794eb79a336ee
"Hillman, Jefferson, AL",33.447162404,-86.903046949,0.122434253025328,54279944df156982947dd1d3aa520c7e
"Hillman Park, Jefferson, AL",33.444873964,-86.901886323,0.0476998419565753,bb5fbf503faee7d8de670bd524d3cbb1
"Hollywood, Jefferson, AL",33.475376111,-86.778798403,0.675788821179529,b03068ebbccb475b6d0903005d2d8496
"Hooper City, Jefferson, AL",33.58562315,-86.847992663,7.42560242791068,a3aaf221c0ed9fe40c4102149a9fd3b4
"Huffman, Jefferson, AL",33.5968008,-86.675759623,2.99154199146511,d60ae7cf2d258aa63b60aa5b2482adfa
"Industrial Center, Jefferson, AL",33.452619124,-86.880538873,0.108395832612398,21739906777342569ca4d888c1f53808
"Inglenook, Jefferson, AL",33.56338489,-86.772423494,1.87210488575872,937d0f86eac5d711b250ecf6fd2be6be
"Jones Valley, Jefferson, AL",33.466127048,-86.882530111,0.89685660620181,391dd76cf8fbfdecb3318b3a823b8d42
"Killough Springs, Jefferson, AL",33.614295514,-86.700357506,1.89268039966256,ab1f4e21ddac33a08b220251ca131972
"Kingston, Jefferson, AL",33.5432922,-86.772365305,0.967325977294696,19485678890efd9f1aa5aed5930f956e
"Letson Farms, Jefferson, AL",33.3251491,-86.995233666,0.358145711748654,eff968325707cae11844410c44200723
"Liberty Highlands, Jefferson, AL",33.580670339,-86.653340574,6.50029829371422,5e924f8c96c99cc2674c512f46102e42
"Maple Grove, Jefferson, AL",33.604278752,-86.728038652,0.617499478635993,877937ab2611b1e6b7f6d0eff26694ac
"Mason City, Jefferson, AL",33.469754398,-86.851481155,0.792558363668879,6be70a1f213abbcc543d016d358941a2
"Mayfair, Jefferson, AL",33.470387415,-86.793411978,0.477530767977913,afc19536a92655f5633d1d9bf3842af3
"North Avondale, Jefferson, AL",33.529097113,-86.779220574,0.972425369959748,d4305b4d5ba67d984e9ad140394773ae
"North Birmingham, Jefferson, AL",33.55016582,-86.820595051,1.25707113587476,96e96c30f9a23f2481b46601a4dbac10
"North East Lake, Jefferson, AL",33.570070712,-86.733741552,1.65038385346988,babbf1336390a42494a8bd02ccc880bd
"North Pratt, Jefferson, AL",33.541945213,-86.883228992,1.10670287021388,ef1204868a277ef2edca2b5fc4c56a54
"North Titusville, Jefferson, AL",33.498509711,-86.82708583,0.67978955101133,a96477c4fed257415a9ef05ad218042a
"Norwood, Jefferson, AL",33.537202,-86.801096273,0.997825907676322,0a6370f93b9465826a0cdc1055a1130b
"Oak Ridge, Jefferson, AL",33.5283032,-86.924041065,0.15309900855979,7cda9385deb2fb531a4d69ac0096a1e1
"Oak Ridge Park, Jefferson, AL",33.535830527,-86.733150084,0.487132050011297,161fe9fbb472d4e296259839a4fd2417
"Oakwood Place, Jefferson, AL",33.487597508,-86.865331937,0.786182603258712,c115b604de31a32fc9c758fc77092232
"Oxmoor, Jefferson, AL",33.423975153,-86.880530444,12.6447641017295,87a5d3d92ceba12a0c08d1890420d9d1
"Penfield Park, Jefferson, AL",33.594827503,-86.728751106,0.556245319278035,d7adacc0ecd2e2ee8c6f2069eb1e6819
"Pine Knoll Vista, Jefferson, AL",33.599197735,-86.738402656,0.349547627697931,9164a42c0fcabe743b7ee4572993dfe2
"Powderly, Jefferson, AL",33.46250726,-86.862794806,0.634195094954991,d0a4b1f30e43bcb364862f4385b907a9
"Redmont Park, Jefferson, AL",33.498365751,-86.782927266,1.47677031586924,ea268ea18f76aa9c18af1246f43549c3
"Riley, Jefferson, AL",33.456948581,-86.893842998,0.557640862602517,7f0108f9f0f596261122d94f3370f048
"Rising / West Princeton, Jefferson, AL",33.500393,-86.857624052,0.506847524119239,7b409dc315c9c6acc83ba63abc36baf4
"Riverchase, Jefferson, AL",33.34900595,-86.819510876,2.02214405303507,05e60d2f6a3cc4cbb9068712570762a6
"Roebuck, Jefferson, AL",33.593528356,-86.708953288,2.46619873396724,290c01c955d8d3bb3259eb36f9c3881b
"Roebuck Springs, Jefferson, AL",33.578550102,-86.691185664,2.41575794467586,5471f1d29cc7273fe8bd8f1e9e4b03d4
"Roosevelt, Jefferson, AL",33.438323781,-86.931553855,0.79355966883302,5fac2d17501ec02a0cb1cc98217dbfbb
"Rosedale, Jefferson, AL",33.4827011,-86.793921336,0.376922439901265,fa1c7fa753616dd3e4a156b3b87cb706
"Samford University, Jefferson, AL",33.461873587,-86.794634687,0.340117188042162,3068bb9e9390b091a7ceebbb8601fd94
"Sandusky, Jefferson, AL",33.545353283,-86.898016716,0.660332160338657,8773736e90e1c6a9e8dc5b122ef297fc
"Sherman Heights, Jefferson, AL",33.527650139,-86.932799614,2.62811789751823,68d98021ad3cdb375450da0ed241bbd4
"Smithfield, Jefferson, AL",33.510340748,-86.828205922,1.02184663077305,2b6f34d9943a53df8c2c3d0dd740b0ba
"Smithfield Estates, Jefferson, AL",33.566275003,-86.863493466,4.14092985847548,eb0cf4cca8a29281b87fdfc127e20352
"South East Lake, Jefferson, AL",33.558352,-86.710137923,2.8433843173025,18f0790dc434e6e74b0c03d1a4ae59dc
"South Pratt, Jefferson, AL",33.521859908,-86.884422094,0.268980142744875,b01b71ba04c7625a7bad01ea991a8bfe
"South Titusville, Jefferson, AL",33.48897135,-86.832106558,0.605940054613609,9849058f653d44d565b77a926850f65c
"South Woodlawn, Jefferson, AL",33.543706038,-86.74101643,0.240787803781064,c4fc920feeb850346030207226950426
"Southside, Jefferson, AL",33.513742676,-86.791289935,0.965624900518474,0438e5798ccf5c1bdd36bbe18d5df2d8
"Spring Lake, Jefferson, AL",33.614965746,-86.666281672,2.23569661703393,b098ab95577a3c681eb1235aacd072ef
"Sun Valley, Jefferson, AL",33.65475,-86.707302573,0.704546663869796,975a1225fbe8fd0d36efd78cd3fd9de7
"Tarpley City, Jefferson, AL",33.449822853,-86.88944138,0.225768900548055,fbabfb416d8041f8df7b3596c96c7017
"Thomas, Jefferson, AL",33.530179043,-86.857841919,2.73952469137589,d13634205a199fe31b9c0fdf8015c11c
"Tuxedo, Jefferson, AL",33.508195132,-86.888018006,0.273621098129151,35488c832fd0bb0ad83b29f215eecfdc
"Wahouma, Jefferson, AL",33.556629176,-86.737601885,0.477219646971024,639c78c333a93b0f8e0f77fd0a8a49cf
"West Brownville, Jefferson, AL",33.440271922,-86.910243622,0.251285354050525,1af59b99920fc20a9b0157c9cad93a4e
"West End Manor, Jefferson, AL",33.476506534,-86.858770091,1.03423362955118,bf6d9bcd121397cb10fd09750208df99
"West Goldwire, Jefferson, AL",33.448904758,-86.882635127,0.15510735694634,e413219b84ef38bb04bfd9018e5d7260
"West Homewood, Jefferson, AL",33.457265619,-86.825114469,0.933595376288269,464d08ca3da5e97e9d3c96b7de643065
"Woodland Park, Jefferson, AL",33.478919043,-86.841313784,0.315902438959709,7c8647b79eab8615bfd9195c0fa26e85
"Woodlawn, Jefferson, AL",33.552756291,-86.752532678,2.58108425822476,e56f0bdb51389e925bf0d71ebe494935
