,County,Year,Real_GGP_base_2017,Construction,Manufacturing,Finance
0,"Autauga, AL",2020,"1,749,999","73,458","237,619","280,323"
1,"Baldwin, AL",2020,"8,110,635","590,290","502,777","2,327,274"
2,"Barbour, AL",2020,"733,805","16,437","198,154","101,772"
3,"Bibb, AL",2020,"462,167","87,503","54,106","55,765"
4,"Blount, AL",2020,"907,449","58,161","102,194","221,824"
5,"Bullock, AL",2020,"271,363",(D),"58,057","34,247"
6,"Butler, AL",2020,"602,970","18,230","190,814","75,781"
7,"Calhoun, AL",2020,"4,479,184","111,775","992,295","547,843"
8,"Chambers, AL",2020,"882,656","22,980","300,408","129,276"
9,"Cherokee, AL",2020,"534,860","13,341","86,977","132,660"
10,"Chilton, AL",2020,"1,072,090","69,385","261,669","151,895"
11,"Choctaw, AL",2020,"561,606",(D),(D),"41,373"
12,"Clarke, AL",2020,"850,076","12,161","326,066","96,514"
13,"Clay, AL",2020,"424,095","9,791","209,635","61,460"
14,"Cleburne, AL",2020,"281,445","34,041","52,317","54,600"
15,"Coffee, AL",2020,"1,404,389","53,736","244,337","212,467"
16,"Colbert, AL",2020,"2,546,257","145,451","914,261","267,606"
17,"Conecuh, AL",2020,"372,753","5,230","37,599","33,155"
18,"Coosa, AL",2020,"179,105","3,811","49,297","41,867"
19,"Covington, AL",2020,"1,216,840","36,471","206,101","163,625"
20,"Crenshaw, AL",2020,"374,686","11,318","119,792","48,803"
21,"Cullman, AL",2020,"2,807,681","145,395","657,677","449,109"
22,"Dale, AL",2020,"2,781,362","49,799","521,644","244,359"
23,"Dallas, AL",2020,"1,253,286","42,286","431,190","147,474"
24,"DeKalb, AL",2020,"1,889,162","78,625","543,587","251,781"
25,"Elmore, AL",2020,"1,973,072","110,086","289,956","401,665"
26,"Escambia, AL",2020,"1,201,892","36,876","285,019","122,031"
27,"Etowah, AL",2020,"2,829,779","100,297","415,494","451,630"
28,"Fayette, AL",2020,"336,857","6,583","80,745","60,484"
29,"Franklin, AL",2020,"911,517","23,588","359,772","127,525"
30,"Geneva, AL",2020,"562,365","18,854","33,439","129,480"
31,"Greene, AL",2020,"213,279","3,197","57,421","26,923"
32,"Hale, AL",2020,"276,810","14,875","34,412","48,744"
33,"Henry, AL",2020,"449,653","21,297","54,840","82,922"
34,"Houston, AL",2020,"5,667,150","170,687","327,511","680,380"
35,"Jackson, AL",2020,"1,459,956","67,411","477,859","213,697"
36,"Jefferson, AL",2020,"45,616,877","2,199,746","3,105,106","9,381,322"
37,"Lamar, AL",2020,"327,282","6,230","102,387","54,079"
38,"Lauderdale, AL",2020,"2,632,191","134,172","260,954","483,011"
39,"Lawrence, AL",2020,"564,325","27,950","25,160","135,177"
40,"Lee, AL",2020,"6,201,521","376,588","705,124","1,003,972"
41,"Limestone, AL",2020,"4,170,490","362,139","638,680","506,561"
42,"Lowndes, AL",2020,"382,368","6,018","167,750","53,157"
43,"Macon, AL",2020,"525,374",(D),(D),"74,172"
44,"Madison, AL",2020,"26,614,826","913,226","3,271,482","3,102,431"
45,"Marengo, AL",2020,"796,776","34,914","267,030","100,012"
46,"Marion, AL",2020,"875,619","13,221","294,234","128,396"
47,"Marshall, AL",2020,"3,527,647","147,656","967,908","491,939"
48,"Mobile, AL",2020,"20,805,653","1,022,852","5,020,870","3,161,668"
49,"Monroe, AL",2020,"646,135","23,043","147,682","71,200"
50,"Montgomery, AL",2020,"13,806,220","473,831","1,581,105","2,034,496"
51,"Morgan, AL",2020,"5,793,168","357,241","2,091,255","626,171"
52,"Perry, AL",2020,"202,347","4,250","31,212","28,276"
53,"Pickens, AL",2020,"436,991","9,408","74,021","118,409"
54,"Pike, AL",2020,"1,391,437","36,027","342,304","178,273"
55,"Randolph, AL",2020,"460,834","18,784","61,843","102,164"
56,"Russell, AL",2020,"1,521,413","48,927","473,770","250,716"
57,"St. Clair, AL",2020,"1,998,473","151,284","388,662","372,675"
58,"Shelby, AL",2020,"12,275,473","636,580","820,422","3,466,370"
59,"Sumter, AL",2020,"322,819","5,423","45,218","45,489"
60,"Talladega, AL",2020,"3,058,040","111,045","1,232,928","341,820"
61,"Tallapoosa, AL",2020,"1,335,678","50,597","233,130","206,808"
62,"Tuscaloosa, AL",2020,"10,350,994","451,185","2,604,977","1,560,881"
63,"Walker, AL",2020,"1,693,343","57,750","218,959","271,513"
64,"Washington, AL",2020,"842,982","14,636","481,366","41,518"
65,"Wilcox, AL",2020,"412,902","7,721","180,341","31,312"
66,"Winston, AL",2020,"803,278","17,409","312,386","133,408"
67,"Aleutians East Borough, AK",2020,"243,609",(D),"144,911","7,952"
68,"Aleutians West Census Area, AK",2020,"883,287","474,494","139,387","34,225"
69,"Anchorage Municipality, AK",2020,"22,741,417","901,520","141,547","3,025,357"
70,"Bethel Census Area, AK",2020,"683,840","5,660",(D),"129,944"
71,"Bristol Bay Borough, AK",2020,"126,971","5,755","41,696","13,312"
72,"Chugach Census Area, AK*",2020,"1,297,264","11,994","64,012","34,323"
73,"Copper River Census Area, AK*",2020,"106,236",(D),"2,435","19,381"
74,"Denali Borough, AK",2020,"207,865","2,791",(D),"16,739"
75,"Dillingham Census Area, AK",2020,"246,557",(D),"31,548","38,936"
76,"Fairbanks North Star Borough, AK",2020,"5,478,830","289,226","115,613","637,312"
77,"Haines Borough, AK",2020,"87,833","6,811",(D),"17,273"
78,"Hoonah-Angoon Census Area, AK*",2020,"78,080",(D),"2,269","17,370"
79,"Juneau City and Borough, AK",2020,"2,289,316","84,673","23,107","251,168"
80,"Kenai Peninsula Borough, AK",2020,"2,725,658","104,415","337,991","507,503"
81,"Ketchikan Gateway Borough, AK*",2020,"815,410","31,009","43,148","130,997"
82,"Kodiak Island Borough, AK",2020,"773,473","24,452","95,734","92,217"
83,"Kusilvak Census Area, AK*",2020,"153,072",(D),(D),"22,980"
84,"Lake and Peninsula Borough, AK",2020,"79,575",(D),"2,006","15,128"
85,"Matanuska-Susitna Borough, AK",2020,"2,909,366","345,299",(D),"697,223"
86,"Nome Census Area, AK",2020,"424,185","7,820",(D),"69,455"
87,"North Slope Borough, AK",2020,"6,323,041",(D),(D),"49,939"
88,"Northwest Arctic Borough, AK",2020,"625,705","6,368",(D),"40,335"
89,"Petersburg Borough, AK*",2020,"166,460","6,681","13,018","25,343"
90,"Prince of Wales-Hyder Census Area, AK*",2020,"238,767","8,077","5,576","43,534"
91,"Prince of Wales-Outer Ketchikan Census Area, AK*",2020,(NA),(NA),(NA),(NA)
92,"Sitka City and Borough, AK",2020,"441,317","20,169","47,497","64,239"
93,"Skagway Municipality, AK*",2020,"61,049",(D),(D),"10,782"
94,"Skagway-Hoonah-Angoon Census Area, AK*",2020,(NA),(NA),(NA),(NA)
95,"Southeast Fairbanks Census Area, AK",2020,"624,165","10,024","3,264","39,227"
96,"Valdez-Cordova Census Area, AK*",2020,(NA),(NA),(NA),(NA)
97,"Wrangell City and Borough, AK*",2020,"84,179","3,059",(D),"17,033"
98,"Wrangell-Petersburg Census Area, AK*",2020,(NA),(NA),(NA),(NA)
99,"Yakutat City and Borough, AK*",2020,"33,852",(D),(D),"4,552"
100,"Yukon-Koyukuk Census Area, AK",2020,"296,753","7,344",(D),"39,130"
101,"Apache, AZ",2020,"2,408,191","36,989","14,906","273,447"
102,"Cochise, AZ",2020,"5,010,802","248,638","81,508","1,137,925"
103,"Coconino, AZ",2020,"7,029,842","245,868","1,018,253","1,357,404"
104,"Gila, AZ",2020,"1,732,748","59,628","208,458","298,173"
105,"Graham, AZ",2020,"1,184,153","33,361","19,148","121,623"
106,"Greenlee, AZ",2020,"1,519,598","6,230",236,"31,797"
107,"La Paz, AZ",2020,"679,743","6,715","13,997","157,694"
108,"Maricopa, AZ",2020,"266,090,000","15,551,864","22,639,614","65,284,913"
109,"Mohave, AZ",2020,"5,881,927","334,056","377,692","1,404,616"
110,"Navajo, AZ",2020,"2,802,428","116,534","28,525","445,373"
111,"Pima, AZ",2020,"45,734,608","1,814,064","7,176,640","8,992,623"
112,"Pinal, AZ",2020,"9,474,506","627,227","1,423,323","2,320,033"
113,"Santa Cruz, AZ",2020,"1,952,446","34,200","130,514","252,939"
114,"Yavapai, AZ",2020,"7,493,448","549,350","500,391","1,996,667"
115,"Yuma, AZ",2020,"7,611,986","296,109","397,872","1,135,868"
116,"Arkansas, AR",2020,"1,056,634","23,004","367,443","103,057"
117,"Ashley, AR",2020,"806,278","34,693","342,403","73,735"
118,"Baxter, AR",2020,"1,562,929","40,226","477,546","243,947"
119,"Benton, AR",2020,"16,489,585","639,923","1,224,302","2,013,834"
120,"Boone, AR",2020,"1,301,833","39,735","201,006","180,275"
121,"Bradley, AR",2020,"329,648","12,965","98,240","46,631"
122,"Calhoun, AR",2020,"346,351","7,729","249,229","35,143"
123,"Carroll, AR",2020,"816,981","34,266","257,803","134,917"
124,"Chicot, AR",2020,"271,878","10,153","1,431","56,380"
125,"Clark, AR",2020,"782,057","11,725","196,869","119,196"
126,"Clay, AR",2020,"333,744","10,881","7,901","71,783"
127,"Cleburne, AR",2020,"615,805","31,011","76,959","140,990"
128,"Cleveland, AR",2020,"96,386","3,920","9,612","23,228"
129,"Columbia, AR",2020,"866,013","11,915","310,582","129,637"
130,"Conway, AR",2020,"680,295","42,857","143,519","88,090"
131,"Craighead, AR",2020,"4,873,601","193,993","786,637","656,406"
132,"Crawford, AR",2020,"1,689,391","81,695","385,484","274,436"
133,"Crittenden, AR",2020,"1,743,303","68,058","223,216","235,319"
134,"Cross, AR",2020,"452,547","6,916","32,638","74,085"
135,"Dallas, AR",2020,"245,638","4,858","90,326","38,560"
136,"Desha, AR",2020,"552,432","6,465","134,938","57,122"
137,"Drew, AR",2020,"593,451","23,302","119,342","77,909"
138,"Faulkner, AR",2020,"3,925,300","251,471","401,377","687,994"
139,"Franklin, AR",2020,"428,810","11,455","71,753","64,727"
140,"Fulton, AR",2020,"186,793","18,401",(D),"54,119"
141,"Garland, AR",2020,"3,406,917","216,715","275,250","631,295"
142,"Grant, AR",2020,"407,701","20,929","121,102","67,351"
143,"Greene, AR",2020,"1,472,589","49,117","447,399","215,486"
144,"Hempstead, AR",2020,"939,008","12,776","230,106","90,408"
145,"Hot Spring, AR",2020,"985,259","20,876","198,274","139,282"
146,"Howard, AR",2020,"547,740","9,196","247,333","58,134"
147,"Independence, AR",2020,"1,653,945","61,209","385,796","188,425"
148,"Izard, AR",2020,"258,440","6,312","17,692","68,540"
149,"Jackson, AR",2020,"674,008","8,098","181,110","61,366"
150,"Jefferson, AR",2020,"2,868,085","50,639","570,748","330,004"
151,"Johnson, AR",2020,"648,475","18,281","186,779","103,700"
152,"Lafayette, AR",2020,"115,543","7,761","4,149","34,730"
153,"Lawrence, AR",2020,"439,700","15,897","33,445","89,606"
154,"Lee, AR",2020,"162,254",(D),(D),"35,781"
155,"Lincoln, AR",2020,"223,804","15,049","17,762","33,681"
156,"Little River, AR",2020,"512,533","6,376","278,292","48,201"
157,"Logan, AR",2020,"418,051","14,933","71,025","88,676"
158,"Lonoke, AR",2020,"1,360,981","94,411","135,870","367,472"
159,"Madison, AR",2020,"351,555","18,387","95,089","58,739"
160,"Marion, AR",2020,"596,642",(D),"308,437","79,964"
161,"Miller, AR",2020,"1,338,968","57,490","337,953","202,011"
162,"Mississippi, AR",2020,"2,770,419","96,983","1,413,864","198,706"
163,"Monroe, AR",2020,"200,856","2,346","11,613","36,022"
164,"Montgomery, AR",2020,"133,690","6,829","3,555","49,950"
165,"Nevada, AR",2020,"232,653",(D),(D),"35,463"
166,"Newton, AR",2020,"98,791","6,007","2,987","32,270"
167,"Ouachita, AR",2020,"616,307","21,149","74,285","123,924"
168,"Perry, AR",2020,"146,738","10,373","4,258","36,424"
169,"Phillips, AR",2020,"533,241","6,637","37,542","79,537"
170,"Pike, AR",2020,"248,477","7,147","31,408","66,826"
171,"Poinsett, AR",2020,"586,462","13,954","91,244","82,375"
172,"Polk, AR",2020,"504,483","19,445","110,438","97,109"
