,geo_id,homeSaleCount_2020,avgSalePrice_2020,medSalePrice_2020,homeSaleCount_2021,avgSalePrice_2021,medSalePrice_2021,homeSaleCount_2022,avgSalePrice_2022,medSalePrice_2022,homeSaleCount_2023,avgSalePrice_2023,medSalePrice_2023,homeSaleCount_2024,avgSalePrice_2024,medSalePrice_2024,homeSaleCount_2025,avgSalePrice_2025,medSalePrice_2025,avg_homeSaleCount,avg_medSalePrice,cagr_med_price,cagr_sale_count
5415,9cd7eab982c5c35bcd6f05d732d333c5,10.0,84667.0,29900.0,24.0,85341.0,29900.0,10.0,107490.0,31950.0,14.0,235907.0,324950.0,39.0,234481.0,330000.0,21.0,237657.0,310000.0,23.6,211340.0,113.2866,28.0579
5369,b508f5dc4143a48154f0ff995b081678,7.0,229071.0,117000.0,12.0,609375.0,739750.0,11.0,609854.0,165000.0,4.0,260175.0,232000.0,10.0,313800.0,219000.0,16.0,1088909.0,1215000.0,12.0,537550.0,94.5498,13.3033
136,5b55d57472de1efb82e58cc003f53b78,51.0,326056.0,333005.0,24.0,238392.0,267500.0,40.0,257060.0,67000.0,40.0,354325.0,480008.0,15.0,519423.0,566775.0,14.0,471280.0,487000.0,36.8,440257.6,93.7097,-29.527
13406,6a62dc1d0f1a59ae0c3de95037e1b683,2.0,47500.0,47500.0,0.0,0.0,0.0,12.0,93833.0,46000.0,78.0,189987.0,271350.0,73.0,195940.0,60000.0,18.0,307961.0,323800.0,36.6,149730.0,91.6489,14.4714
19553,d7926013088462e0208e1edce50bf340,16.0,463266.0,156885.0,30.0,674595.0,182500.0,13.0,766826.0,260000.0,12.0,1070248.0,367500.0,12.0,646166.0,307500.0,11.0,1694587.0,1756090.0,18.8,606095.0,89.0273,-5.4163
6926,f236f249dc63daf84dc4d4bde3a9b1b0,0.0,0.0,0.0,29.0,120004.0,41900.0,34.0,190169.0,49775.0,31.0,343131.0,310900.0,23.0,299796.0,316193.0,18.0,326879.0,330750.0,27.0,209903.6,88.0022,-19.1032
19512,8f3ec7cc1c199a0a566221bee1aeaa9c,0.0,0.0,0.0,0.0,0.0,0.0,19.0,165181.0,52500.0,61.0,302041.0,366900.0,179.0,310852.0,336625.0,160.0,380381.0,344741.0,83.8,220153.2,87.2598,103.449
10010,197768fd33017b2e0aa67693d2d744d4,3.0,172208.0,81000.0,2.0,110219.0,110219.0,59.0,116070.0,55625.0,29.0,223390.0,223850.0,31.0,265410.0,249154.0,24.0,271403.0,313337.0,29.6,206637.0,77.9292,-25.9054
17189,47aeb129a92c6451dcd2e2e474ecd14a,16.0,281846.0,278437.0,11.0,194309.0,103900.0,22.0,249413.0,105900.0,15.0,382780.0,485000.0,10.0,358230.0,435000.0,12.0,411408.0,532500.0,17.2,388147.4,71.3199,-18.2942
6931,f2df79a328f5b6178376d82ce494a8cd,0.0,0.0,0.0,0.0,0.0,0.0,39.0,151550.0,75000.0,16.0,317762.0,278500.0,13.0,352492.0,287000.0,12.0,276458.0,296000.0,16.0,187300.0,58.0314,-32.4894
19329,8e95c9e44782db4672d44708c54afc8d,54.0,175468.0,170000.0,149.0,160674.0,110000.0,135.0,151451.0,48500.0,60.0,168285.0,153850.0,46.0,205402.0,213500.0,59.0,209469.0,187500.0,100.6,176670.0,56.9471,-24.1121
24135,428ac32e65a29c74e0859ca6fb3909f2,7.0,101100.0,75000.0,9.0,146686.0,150000.0,13.0,102376.0,70000.0,5.0,173736.0,105500.0,10.0,181130.0,160150.0,11.0,217231.0,270000.0,11.0,166130.0,56.8274,-5.4163
18095,7857d00a02713eb0e9c8167e37b088c2,20.0,213517.0,253724.0,21.0,226364.0,238980.0,14.0,185643.0,104375.0,8.0,268440.0,280635.0,8.0,408976.0,387250.0,15.0,421242.0,397500.0,17.2,332492.8,56.1637,2.3264
5657,79092f0808cc3e5b09d2361978dd597d,9.0,539888.0,389000.0,26.0,439519.0,350000.0,15.0,320500.0,157500.0,14.0,696642.0,484500.0,14.0,442921.0,360000.0,12.0,524791.0,595500.0,18.0,467300.0,55.7879,-7.1682
13662,4439a3b7af07e8fd3cb9cb6e434a0876,0.0,0.0,0.0,0.0,0.0,0.0,35.0,113897.0,115000.0,120.0,369535.0,403000.0,114.0,332644.0,298500.0,74.0,401447.0,403500.0,68.6,244000.0,51.9551,28.3476
11370,664f3ac3647330f9dbb2a592140a4407,17.0,645120.0,710000.0,30.0,590933.0,490000.0,13.0,445962.0,300000.0,9.0,666111.0,795000.0,18.0,848660.0,835990.0,15.0,1170333.0,1000000.0,20.4,826198.0,49.3802,4.8856
5059,8d8a37f6eef2057fcda83a8dc8518569,15.0,274266.0,162000.0,8.0,444037.0,249450.0,21.0,560214.0,265000.0,15.0,592446.0,575000.0,12.0,553541.0,410000.0,13.0,728646.0,875000.0,16.8,507290.0,48.9089,-14.7735
5800,069c8c2a9c84836bddeb535ef39cd003,36.0,317870.0,305500.0,67.0,380416.0,260000.0,33.0,357445.0,176000.0,93.0,487732.0,542350.0,37.0,533900.0,599000.0,36.0,633775.0,563000.0,60.4,489170.0,47.3438,2.9428
248,625da3f94be6ea60e6c22f2160d762fa,40.0,167353.0,143500.0,29.0,180557.0,175000.0,24.0,125050.0,92500.0,27.0,177397.0,172500.0,58.0,284794.0,295900.0,26.0,267070.0,293900.0,40.8,234660.0,47.0119,2.704
9078,c5b1e1e977f1498cce5e4dc8136af383,171.0,586565.0,450000.0,148.0,644417.0,300000.0,108.0,762698.0,353750.0,95.0,874115.0,630000.0,77.0,1042927.0,725000.0,88.0,1319935.0,1122500.0,137.4,716250.0,46.9479,-6.5987
18256,39cb92c14fe6b98254f9e5e3aaf2e99f,13.0,328330.0,287900.0,25.0,274176.0,222000.0,22.0,363468.0,229950.0,14.0,474342.0,253950.0,11.0,586181.0,315000.0,15.0,688888.0,725000.0,20.0,406760.0,46.6341,-11.9851
21562,d12008fc92486137077ea62ecc2c4611,27.0,275111.0,149500.0,24.0,407270.0,449750.0,47.0,305659.0,195500.0,25.0,423160.0,547000.0,23.0,522467.0,560000.0,17.0,619323.0,608500.0,32.6,502050.0,46.0062,-28.7502
4573,c2ec5f675a25b63be0b7897412cb9ad5,80.0,333677.0,245250.0,76.0,312068.0,197500.0,54.0,294695.0,203500.0,68.0,261766.0,209950.0,80.0,369518.0,220000.0,65.0,508987.0,630000.0,84.6,341240.0,45.7445,6.3751
21577,aa29b4848b43882dc702d68d854f8d66,9.0,158277.0,162000.0,10.0,332400.0,237500.0,11.0,214954.0,130000.0,24.0,212250.0,195000.0,19.0,507210.0,410000.0,19.0,500605.0,399000.0,18.4,306700.0,45.326,19.9832
20807,3df74c33036fafe19bd1fd8820d1959e,102.0,726983.0,235625.0,89.0,837024.0,270938.0,72.0,694757.0,252344.0,43.0,936220.0,393750.0,40.0,641549.0,224250.0,37.0,1658637.0,772500.0,76.6,429881.4,45.2006,-19.9017
24324,109050e3e7b9387b0f5bb8ec64018450,4.0,115388.0,119777.0,4.0,172225.0,139500.0,12.0,127922.0,92750.0,11.0,171455.0,182000.0,14.0,204157.0,140500.0,13.0,299484.0,280000.0,11.6,190905.4,44.5267,2.704
21051,2ce2bc5a7ab1410eafe5380e17f806a2,17.0,259088.0,172000.0,34.0,288279.0,226000.0,21.0,373714.0,350000.0,11.0,388227.0,275000.0,14.0,334357.0,267500.0,31.0,1494774.0,976000.0,25.6,453300.0,40.7539,13.8625
4938,d2bb34fc74900ae3a84cab7d472be904,70.0,1300347.0,1163750.0,125.0,1066929.0,503750.0,129.0,1125109.0,445000.0,92.0,977566.0,395000.0,70.0,1595719.0,1485000.0,57.0,1441277.0,1200000.0,108.6,1038500.0,39.1897,-23.8339
9086,e4902f50628b7e78390f15db3d2acbe2,57.0,520603.0,450000.0,68.0,823177.0,759950.0,34.0,490497.0,398750.0,42.0,565416.0,167500.0,37.0,1000588.0,800000.0,33.0,1080657.0,1075000.0,54.2,730240.0,39.1776,-0.9902
21738,549965245644907d546fa74add98dfbc,41.0,245218.0,190700.0,46.0,258821.0,202500.0,11.0,161290.0,110000.0,26.0,266107.0,236750.0,28.0,303277.0,198688.0,26.0,340702.0,293951.0,35.6,246517.8,38.7695,33.207
21402,99cd97adaf43d3a2de0b28cb274d8e76,46.0,372956.0,304500.0,55.0,487472.0,450000.0,42.0,578321.0,372500.0,28.0,579339.0,437500.0,28.0,735464.0,471000.0,27.0,870962.0,987500.0,45.2,604600.0,38.4003,-13.6946
6477,b725efa26ac2f72e70c318ce4f1ec3f2,8.0,113562.0,97500.0,17.0,140764.0,104000.0,13.0,255423.0,129500.0,9.0,290500.0,190000.0,16.0,262218.0,213750.0,12.0,325958.0,333500.0,15.0,213650.0,37.0699,-2.6328
17547,28d44a935b8c97a63701dc4600c9b1e6,27.0,811285.0,600000.0,27.0,918240.0,600000.0,29.0,916912.0,590000.0,14.0,982585.0,670750.0,18.0,1051666.0,680000.0,21.0,1401201.0,1500000.0,27.2,928150.0,36.4834,-10.2005
23248,0c783e06032e8d7f44cea3156b9668c3,31.0,464580.0,504900.0,40.0,533910.0,583050.0,88.0,479245.0,364350.0,52.0,625019.0,657500.0,30.0,951226.0,752500.0,27.0,1035381.0,912900.0,53.6,755040.0,35.8214,-32.5534
17425,4c7caecd55ca46a92e4cf02c379e2a41,20.0,367507.0,315750.0,9.0,397555.0,220500.0,20.0,457600.0,362500.0,12.0,619950.0,542500.0,15.0,563753.0,545000.0,11.0,781000.0,889000.0,17.4,575050.0,34.8542,-18.0679
9489,caf65b226f768901fe5874447094984c,155.0,129915.0,89900.0,179.0,143450.0,104000.0,164.0,174496.0,111000.0,150.0,199222.0,155000.0,153.0,238059.0,229000.0,170.0,276601.0,267500.0,194.2,191280.0,34.0706,1.2049
5091,ce426c629f96e30ac6440cb54c813564,71.0,319784.0,368000.0,101.0,333392.0,249000.0,74.0,423745.0,257500.0,67.0,509467.0,510000.0,77.0,464178.0,294800.0,63.0,511375.0,619000.0,90.6,459660.0,33.9588,-5.223
24039,dbf2a76b57798a28fe780507e99d75fb,35.0,83033.0,62000.0,47.0,122559.0,81600.0,61.0,97375.0,78000.0,40.0,123462.0,96000.0,57.0,161217.0,120000.0,57.0,199345.0,186750.0,59.4,124870.0,33.7792,-2.2354
9508,a7f2681f764cd887bef4e81819a7b773,18.0,81699.0,71500.0,13.0,127261.0,135000.0,14.0,92998.0,75000.0,18.0,147001.0,150000.0,9.0,198111.0,230000.0,14.0,176785.0,177500.0,17.2,167800.0,33.2639,0.0
