,geo_id,medSalePrice_2025,homeSaleCount_2025,cagr_med_price,cagr_sale_count,geographyName,median_Household_Income,household_Income_Per_Capita,housing_Median_Rent,housing_Owner_Households_Median_Value,housing_Units_Renter_Occupied_Pct,housing_Units_Vacant_Pct,median_Length_Of_Residence_Yr,median_Age,households_1_Person_Pct,crime_Index,annual_Avg_Temp,possible_Sunshine_Pct,air_Pollution_Index,housing_Median_Built_Yr,education_Bach_Degree_Pct,education_Grad_Degree_Pct,occupation_White_Collar_Pct,occupation_Blue_Collar_Pct,population_16P_Unemployed_Male_Pct,population_16P_Unemployed_Female_Pct,population_Chg_Pct_5_Yr_Projection,population_Chg_Pct_2010,population_White_Pct,population_Black_Pct,population_Hispanic_Pct,population_Aged_25_34_Pct,population_Aged_35_44_Pct,population_Aged_65_74_Pct,area_Square_Mile,latitude,longitude,households_Family_W_Children_Pct,population,population_2020,population_Male_Pct,population_Female_Pct,population_Aged_0_5_Pct,population_Aged_6_11_Pct,population_Aged_12_17_Pct,population_Aged_18_24_Pct,population_Aged_45_54_Pct,population_Aged_55_64_Pct,population_Aged_75_84_Pct,population_Aged_85P_Pct,costIndex_Annual_Expenditures,costIndex_Housing,costIndex_Healthcare,costIndex_Education,householder_Median_Age,housing_Occupied_Structure_2_Units_Pct,housing_Occupied_Structure_3_4_Units_Pct,housing_Occupied_Structure_5_9_Units_Pct,housing_Occupied_Structure_10_19_Units_Pct,housing_Occupied_Structure_20_49_Units_Pct,housing_Occupied_Structure_50_Or_More_Units_Pct,housing_Built_2010_Or_Later_Pct,housing_Built_2000_2009_Pct,housing_Built_1990_1999_Pct,housing_Built_1980_1989_Pct,housing_Built_1970_1979_Pct,housing_Built_1960_1969_Pct,housing_Built_1950_1959_Pct,housing_Built_1940_1949_Pct,housing_Built_1939_Or_Earlier_Pct,travel_Time_To_Work_0_14_Mi_Pct,travel_Time_To_Work_15_29_Mi_Pct,travel_Time_To_Work_30_59_Mi_Pct,travel_Time_To_Work_60_89_Mi_Pct,travel_Time_To_Work_90_Or_More_Mi_Pct
0,9cd7eab982c5c35bcd6f05d732d333c5,310000.0,21.0,113.2866,28.0579,"Price End, North Port, Sarasota County, FL",66040,36002,2166.0,240749,32.29,7.36,24,44.2,11.5,31,73.38,68,76,2004,16.17,0.28,58.37,41.63,1.08,0.86,2.52,-60.01,71.31,8.02,12.72,6.8,6.72,10.3,1.33,42.036278,-87.803413,29.99,349,317,53.97,46.03,5.93,4.02,8.28,18.65,14.27,14.73,9.45,0.83,98.0,96.0,95.0,107.0,54.2,0.0,0.0,0.0,0.0,3.89,0.04,24.29,66.39,2.7,2.55,0.8,0.77,0.79,0.67,0.67,17.4,53.64,22.81,6.14,0.01
1,b508f5dc4143a48154f0ff995b081678,1215000.0,16.0,94.5498,13.3033,"The Hills, Coral Springs, Broward County, FL",160578,55440,1314.0,517565,31.14,6.53,24,38.3,17.13,45,75.12,66,77,1982,18.23,41.77,93.58,6.42,1.11,0.96,8.72,21.3,51.54,9.98,25.03,12.95,14.2,8.34,0.29,40.042807,-105.276684,38.81,663,629,52.8,47.2,9.59,7.72,6.72,8.34,12.7,13.2,4.73,1.49,121.0,114.0,98.0,188.0,51.3,0.0,0.02,33.89,10.14,6.29,0.0,17.41,0.01,0.0,43.77,25.51,10.77,0.0,0.0,0.0,25.1,46.68,28.22,0.01,0.0
2,5b55d57472de1efb82e58cc003f53b78,487000.0,14.0,93.7097,-29.527,"Whitesburg Estates, Huntsville, Madison County, AL",95646,60150,950.0,265325,10.22,4.89,24,47.9,23.84,56,59.92,58,110,1992,32.87,18.44,86.79,13.21,0.77,0.68,5.3,35.17,79.82,6.0,3.34,8.92,9.18,14.23,0.52,36.267926,-115.132615,30.8,945,845,46.51,53.49,2.29,5.62,9.32,9.22,16.33,15.5,5.44,3.97,126.0,122.0,117.0,159.0,57.6,0.17,0.39,3.44,1.53,0.88,0.0,18.2,1.64,11.96,22.51,9.62,10.42,2.59,0.4,0.38,23.3,55.78,19.09,0.69,1.15
3,6a62dc1d0f1a59ae0c3de95037e1b683,323800.0,18.0,91.6489,14.4714,"Kittyhawk, Dayton, Montgomery County, OH",55880,31897,762.0,108885,22.43,7.31,24,44.0,44.41,86,52.55,54,209,1980,18.89,7.02,59.02,40.98,1.44,1.02,1.47,6.04,73.77,11.49,4.36,12.91,10.26,13.49,4.49,39.827121,-84.17338,21.52,2405,2409,48.92,51.08,6.09,5.58,7.51,8.26,10.58,14.28,5.81,5.23,104.0,107.0,107.0,97.0,61.6,0.03,1.04,2.84,0.02,0.54,0.0,8.99,13.02,6.72,10.63,23.44,3.6,9.26,5.73,7.48,39.76,43.39,15.8,1.06,0.0
4,d7926013088462e0208e1edce50bf340,1756090.0,11.0,89.0273,-5.4163,"Echelon, Cherokee County, GA",162923,108272,250.0,566139,0.01,3.87,24,54.1,0.11,41,59.35,61,87,2002,26.17,14.92,87.01,12.99,0.91,0.91,4.54,116.21,79.16,5.05,7.88,6.31,8.06,13.74,1.03,37.361835,-122.045909,12.45,596,522,46.63,53.37,3.18,3.06,8.09,5.72,17.17,28.84,4.69,1.14,133.0,124.0,117.0,197.0,52.9,0.0,0.0,0.0,0.0,0.0,0.0,26.58,22.61,11.21,15.87,5.52,6.17,0.47,0.36,0.36,1.56,42.18,50.25,0.07,5.94
5,f236f249dc63daf84dc4d4bde3a9b1b0,330750.0,18.0,88.0022,-19.1032,"New Paris, Elkhart County, IN",83770,32492,694.0,220092,12.94,5.13,24,37.5,20.04,76,49.41,60,88,1984,12.88,6.08,51.77,48.23,1.66,1.43,1.94,15.08,89.49,0.39,8.5,13.98,11.46,10.93,26.68,42.131065,-87.822378,30.58,3763,3716,49.1,50.9,9.85,9.34,8.15,6.35,14.21,9.7,4.5,1.53,91.0,89.0,89.0,97.0,51.1,0.0,0.45,0.71,0.0,0.5,0.41,20.94,10.53,7.39,7.53,4.37,8.61,10.35,3.7,18.0,37.97,48.59,12.8,0.29,0.36
6,8f3ec7cc1c199a0a566221bee1aeaa9c,344741.0,160.0,87.2598,103.449,"New Hampstead East, Savannah, Chatham County, GA",137500,60965,529.0,542181,6.08,8.59,24,51.6,10.31,39,66.0,62,63,2003,31.95,31.38,91.4,8.6,0.73,0.81,3.89,-24.63,68.85,9.46,4.24,3.82,5.15,18.29,1.87,39.687306,-105.018029,31.49,496,479,49.93,50.07,3.2,3.48,10.5,9.25,22.25,15.44,6.82,1.81,124.0,117.0,108.0,185.0,56.5,0.0,0.0,0.0,0.0,0.0,0.0,16.99,76.38,2.36,3.03,2.86,0.84,0.84,0.84,3.03,18.46,57.24,17.99,2.57,3.74
7,197768fd33017b2e0aa67693d2d744d4,313337.0,24.0,77.9292,-25.9054,"Brownsville / South Padre Island International Airport, Brownsville, Cameron County, TX",24370,10283,617.0,35610,31.95,22.82,23,25.8,28.77,156,73.94,60,86,1988,1.79,1.79,36.86,63.14,1.47,1.38,3.22,-8.53,26.57,0.96,87.6,11.57,14.22,4.63,1.79,25.905816,-97.42486,48.88,98,97,45.45,54.55,7.97,14.23,13.58,13.78,6.38,8.28,3.5,1.87,49.0,50.0,52.0,45.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,9.47,0.0,6.9,15.15,18.38,7.17,0.0,14.01,0.0,24.97,56.37,13.03,0.0,0.0
8,47aeb129a92c6451dcd2e2e474ecd14a,532500.0,12.0,71.3199,-18.2942,"H.F. Johnson Park, Racine, Racine County, WI",119525,51179,1716.0,337409,3.17,3.67,24,48.0,12.36,13,47.51,54,82,1999,33.06,15.35,85.08,14.92,0.96,0.77,2.08,2.05,82.23,2.65,9.5,7.08,10.37,17.39,0.96,40.039351,-105.279596,23.85,814,814,55.45,44.55,9.04,8.88,7.5,4.1,9.8,13.38,10.35,2.14,115.0,109.0,110.0,141.0,63.1,0.45,0.0,0.0,0.0,0.0,0.0,10.84,15.67,8.92,4.01,13.22,11.3,5.78,4.14,1.57,43.43,26.11,29.53,0.93,0.0
9,f2df79a328f5b6178376d82ce494a8cd,296000.0,12.0,58.0314,-32.4894,"Simonton Lake, Simonton Lake, Elkhart County, IN",72396,39639,850.0,250941,28.98,7.83,24,45.0,37.51,130,49.52,60,91,1989,19.23,6.7,68.25,31.75,1.41,1.45,2.12,15.44,76.09,4.56,9.47,11.5,12.26,9.16,3.66,35.942875,-79.088724,16.65,4021,4067,46.71,53.29,5.96,6.3,8.66,5.32,13.35,16.3,8.46,2.73,110.0,110.0,108.0,119.0,58.5,1.54,2.03,9.55,4.12,3.51,0.91,12.67,5.76,18.18,14.19,15.14,6.2,6.44,3.13,5.03,31.5,42.94,24.67,0.65,0.25
10,8e95c9e44782db4672d44708c54afc8d,187500.0,59.0,56.9471,-24.1121,"Warm Mineral Springs, Warm Mineral Springs, Sarasota County, FL",59065,29835,1296.0,227347,46.06,19.64,24,35.7,31.98,181,73.23,68,74,1989,14.04,16.47,44.75,55.25,0.95,0.79,2.67,16.91,74.75,6.44,12.97,15.25,8.88,8.94,1.28,42.023538,-87.847122,22.4,1706,1562,48.05,51.95,9.72,9.32,7.31,7.85,13.06,9.39,8.72,1.57,105.0,107.0,106.0,98.0,53.7,9.37,1.96,0.0,0.0,0.0,0.0,15.89,4.12,3.96,6.75,19.94,15.88,6.11,1.2,0.0,19.47,27.69,49.71,2.65,0.47
11,428ac32e65a29c74e0859ca6fb3909f2,270000.0,11.0,56.8274,-5.4163,"Turnberry, Newport News, Newport News city, VA",66596,35624,1130.0,157150,89.13,11.83,24,39.9,35.85,195,59.29,63,80,1983,6.69,6.27,73.73,26.27,1.16,0.9,1.49,107.39,34.6,39.76,11.94,14.84,16.92,7.46,0.16,38.281057,-85.531471,26.24,1066,1071,48.09,51.91,6.86,7.53,3.5,8.94,9.32,11.11,8.8,4.7,104.0,109.0,92.0,94.0,39.7,4.27,15.32,46.6,10.43,1.26,4.9,10.35,0.0,2.79,53.49,25.15,4.59,0.0,0.0,0.0,15.74,51.3,26.62,0.0,6.34
12,7857d00a02713eb0e9c8167e37b088c2,397500.0,15.0,56.1637,2.3264,"Country Lane Estates, Kansas City, Jackson County, MO",50349,36944,1014.0,198585,65.2,5.02,24,56.9,70.93,97,54.69,61,102,1978,19.19,22.99,90.8,9.2,0.76,1.15,2.57,6.19,71.7,18.46,3.37,11.09,6.38,25.78,0.54,38.889018,-76.58462,14.08,1782,1751,41.84,58.16,8.29,5.09,4.71,2.64,9.45,11.67,7.84,7.06,125.0,132.0,130.0,100.0,68.8,0.0,10.98,26.87,2.56,13.81,15.4,13.56,0.15,1.67,23.7,22.64,15.39,11.29,0.54,4.49,15.01,65.45,18.67,0.86,0.0
13,79092f0808cc3e5b09d2361978dd597d,595500.0,12.0,55.7879,-7.1682,"Fort George Island, Jacksonville, Duval County, FL",125649,44739,1683.0,365686,9.27,3.81,24,42.2,12.55,43,69.12,63,67,2004,15.23,17.29,76.59,23.41,1.07,0.83,5.47,65.03,59.35,18.25,11.49,10.5,17.8,14.95,6.63,30.414156,-81.437636,33.61,468,446,54.83,45.17,9.44,7.78,3.07,6.37,10.69,11.97,5.89,1.54,109.0,106.0,100.0,127.0,53.7,0.0,0.0,0.0,0.0,0.0,0.0,18.27,26.92,9.72,8.83,9.0,1.7,0.0,0.0,0.0,0.0,41.63,54.0,2.02,2.34
14,4439a3b7af07e8fd3cb9cb6e434a0876,403500.0,74.0,51.9551,28.3476,"Lynn Lane, Tulsa, Tulsa County, OK",110669,44466,849.0,268800,17.45,4.75,24,34.4,20.03,53,59.86,62,93,1994,22.74,12.68,79.14,20.86,1.18,0.83,3.74,62.75,58.34,6.11,14.95,12.93,17.42,6.76,8.75,35.916337,-79.090801,47.19,7340,7110,52.29,47.71,7.25,12.5,12.39,6.5,13.14,7.6,3.14,0.37,101.0,98.0,89.0,133.0,47.7,0.0,0.23,3.02,1.69,0.29,0.0,32.46,20.61,5.04,6.23,15.13,6.02,0.98,0.45,1.69,22.64,59.83,14.14,1.1,2.28
15,664f3ac3647330f9dbb2a592140a4407,1000000.0,15.0,49.3802,4.8856,"Cedar Heights, Colorado Springs, El Paso County, CO",58056,47367,1226.0,503959,42.73,9.87,24,45.0,45.38,170,41.42,73,97,1979,34.18,17.71,79.33,20.67,1.53,1.07,2.69,-5.68,82.96,1.3,8.03,14.09,15.03,13.19,4.04,26.193615,-81.806625,15.38,904,876,57.49,42.51,3.93,5.56,4.8,7.04,10.74,14.81,7.52,3.29,131.0,131.0,126.0,147.0,54.3,4.47,2.47,2.56,12.99,1.93,0.0,22.98,3.93,5.44,7.62,10.17,6.58,15.07,0.75,16.48,16.3,56.32,23.39,1.65,2.35
16,8d8a37f6eef2057fcda83a8dc8518569,875000.0,13.0,48.9089,-14.7735,"Castlewood, Coral Springs, Broward County, FL",81848,35309,1759.0,415629,45.18,5.84,24,34.0,6.69,38,75.11,66,77,1980,25.26,11.68,76.71,23.29,1.22,1.06,8.49,13.56,22.46,41.92,29.7,17.47,18.21,6.62,0.13,39.916912,-104.99281,51.98,332,320,49.07,50.93,7.64,8.99,9.67,8.12,11.74,9.05,2.08,0.41,73.0,74.0,66.0,68.0,44.1,5.44,29.59,8.66,2.31,0.1,0.11,14.75,2.27,6.41,18.51,35.59,8.76,0.74,0.05,2.03,22.78,35.02,35.87,4.0,2.33
17,069c8c2a9c84836bddeb535ef39cd003,563000.0,36.0,47.3438,2.9428,"Downtown Pensacola, Pensacola, Escambia County, FL",64114,42926,1211.0,390130,53.99,17.91,24,41.6,53.79,159,67.64,60,84,1984,21.98,19.77,83.24,16.76,1.07,0.94,3.15,35.33,61.97,25.53,5.92,21.13,9.25,13.23,0.94,39.333819,-77.225817,13.49,1096,1061,51.34,48.66,8.47,2.71,4.89,6.89,9.17,13.8,5.18,5.29,105.0,107.0,97.0,105.0,51.4,7.51,4.3,4.32,1.63,8.34,12.93,19.59,14.98,5.39,10.0,3.64,3.94,4.75,2.22,27.7,35.86,33.92,19.75,9.82,0.64
